NAME,COMP,MASS,R,RUPPER,RLOWER,UR,PER,ECC,DEC,RA,DIST,PLANETDISCMETH,STAR,MSTAR,RSTAR,TEFF,DATE,MULT
,,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,day,,deg,hr,pc,,,msun,rsun,k,,
Kepler-107 d,d,0.00371234,0.095459,0.00535284,0.00535284,0.00535284,7.958203,,48.20861111,19.80188056,,Transit,Kepler-107,,1.411,5851,2014,1
Kepler-50 b,b,0.0164915,0.196096,,,,7.8125124,,50.03372222,19.20672694,,Transit,Kepler-50,1.23,1.88,6058,2011,1
NN Ser d,d,0.642621,,,,,2605,0.05,12.91238889,15.88225861,,Timing,NN Ser,,,,2010,1
Kepler-20 b,b,0.0266646,0.170247,0.0106961,0.0187183,0.0147072,3.6961219,0,42.33869444,19.17986778,290,Transit,Kepler-20,0.912,0.944,5466,2011,1
Kepler-181 b,b,0.00674351,0.113302,0.0553127,0.0553127,0.0553127,3.137873,,50.09581111,19.74343056,,Transit,Kepler-181,,0.749,5333,2014,1
Kepler-207 b,b,0.0117295,0.140066,0.0267642,0.0267642,0.0267642,1.611865,,42.16605,19.33536944,,Transit,Kepler-207,,1.588,5920,2014,1
Kepler-1642 b,b,0.0304768,0.285,0.00096,0.05104,0.026,12.2057513,0,43.64372222,19.81414444,447,Transit,Kepler-1642,0.88,0.84,5355,2016,1
Kepler-11 c,c,0.00912437,0.255816,0.00445673,0.00534807,0.0049024,13.0241,0.0256125,41.90911111,19.80767278,,Transit,Kepler-11,0.961,1.065,5663,2011,1
Kepler-284 c,c,0.0210192,0.232849,0.105273,0.105273,0.105273,37.514456,,47.72965,19.5431,,Transit,Kepler-284,,0.814,5615,2014,1
Kepler-186 c,c,0.00636705,0.111418,0.012479,0.012479,0.012479,7.267302,0.03,43.95501944,19.91018056,151,Transit,Kepler-186,0.478,0.472,3788,2014,1
Kepler-239 b,b,0.0177874,0.207869,0.0133821,0.0133821,0.0133821,11.763051,,40.66341111,19.61348056,,Transit,Kepler-239,,0.763,4914,2014,1
Kepler-80 f,f,0.00609283,0.11,0.00068,0.00732,0.004,0.98678706,0,39.97877778,19.74083889,0,Transit,Kepler-80,0.72,0.64,4613,2016,1
Kepler-174 b,b,0.014454,0.174859,0.00981354,0.00981354,0.00981354,13.98179,,43.83208889,19.16261111,,Transit,Kepler-174,,0.622,4880,2014,1
Kepler-403 d,d,0.00991268,0.127,0.00029,0.04371,0.022,13.61159129,0,46.74455556,19.32809722,0,Transit,Kepler-403,0,1.33,6090,2016,1
Kepler-224 d,d,0.0174811,0.205192,0.01249,0.01249,0.01249,11.349393,,47.3576,19.39561944,,Transit,Kepler-224,,0.676,5018,2014,1
Kepler-389 c,c,0.0107805,0.130252,0.0669105,0.0669105,0.0669105,14.51143,,44.90001944,19.464,,Transit,Kepler-389,,0.792,5376,2014,1
Kepler-1047 c,c,0.00277643,0.088,0.0004,0.0196,0.01,3.18897601,0,50.78897222,19.24308333,566,Transit,Kepler-1047,1.08,1.13,5754,2016,1
Kepler-254 c,c,0.0160511,0.19181,0.0918904,0.0918904,0.0918904,12.412183,,45.81651111,19.21098056,,Transit,Kepler-254,,0.91,5957,2014,1
Kepler-236 c,c,0.0147725,0.178428,0.0151664,0.0151664,0.0151664,23.968127,,39.89808056,18.92443056,,Transit,Kepler-236,,0.51,3750,2014,1
Kepler-186 d,d,0.00934866,0.12479,0.01426,0.01426,0.01426,13.342996,0.03,43.95501944,19.91018056,151,Transit,Kepler-186,0.478,0.472,3788,2014,1
Kepler-359 c,c,0.0607789,0.38362,0.178428,0.178428,0.178428,57.68802,,42.19635,19.55291111,,Transit,Kepler-359,,1.086,6248,2014,1
Kepler-211 c,c,0.00711292,0.115086,0.00802926,0.00802926,0.00802926,6.04045,,43.16848056,19.02928056,,Transit,Kepler-211,,0.816,5123,2014,1
Kepler-967 b,b,0.0180364,0.21,0.00038,0.01562,0.008,13.22713379,0,38.40536111,19.10387222,499,Transit,Kepler-967,0.84,0.8,5178,2016,1
Kepler-549 b,b,0.020474,0.229,0.00084,0.03516,0.018,42.9495649,0,47.26113889,18.86818611,648,Transit,Kepler-549,0.88,0.84,5360,2016,1
Kepler-294 c,c,0.0223552,0.24177,0.113302,0.113302,0.113302,6.6264,,46.05931111,19.15946944,,Transit,Kepler-294,,0.976,5913,2014,1
Kepler-263 c,c,0.019315,0.220359,0.120439,0.120439,0.120439,47.332773,,37.56778889,19.49798056,,Transit,Kepler-263,,0.785,5265,2014,1
Kepler-349 b,b,0.0139923,0.169507,0.0642341,0.0642341,0.0642341,5.929778,,44.61558056,19.57843056,,Transit,Kepler-349,,0.927,5956,2014,1
HD 200964 b,b,1.94873,,,,,613.8,0.04,3.802997222,21.11105278,72.2022,RV,HD 200964,1.57,3.80029,5082,2011,1
HD 147018 b,b,2.12711,,,,,44.236,0.4686,-61.68799444,16.38343611,42.9553,RV,HD 147018,0.927,1.05268,5441,2010,1
HD 45364 b,b,0.187149,,,,,226.93,0.1684,-31.480925,6.427344444,32.6904,RV,HD 45364,0.82,1.02464,5434,2009,1
Kepler-653 b,b,0.0143786,0.174,0.00061,0.04839,0.0245,14.70748976,0,46.71780556,18.81419444,593,Transit,Kepler-653,1.02,1.19,5665,2016,1
Kepler-553 b,b,0.0707577,0.413,0.00024,0.02776,0.014,4.03046804,0,48.33244444,19.90338889,725,Transit,Kepler-553,0.92,0.85,5266,2016,1
Kepler-361 b,b,0.010538,0.12936,0.0249799,0.0249799,0.0249799,8.486616,,46.74115,19.7869,,Transit,Kepler-361,,1.343,6169,2014,1
Kepler-318 c,c,0.0419521,0.328308,0.0579891,0.0579891,0.0579891,11.815007,,46.79361944,19.89885,,Transit,Kepler-318,,1.189,5746,2014,1
Kepler-372 b,b,0.00850717,0.121331,0.0526363,0.0526363,0.0526363,6.849692,,49.25895,19.41708056,,Transit,Kepler-372,,1.137,6509,2014,1
Kepler-197 e,e,0.00208313,0.0811848,0.00356856,0.00356856,0.00356856,25.209715,,50.55898056,19.68176111,,Transit,Kepler-197,,1.12,6004,2014,1
