STAR,MSINI,MSTAR,HIPP,V,VURL,VREF,TEFF,LOGG,DIST,BMV,J,H,VSINI,RHK,MASSREF,MASSURL,KS,SPECREF,SPECURL,BINARYREF,BINARYURL,NAME,OTHERNAME,COMP,HD,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA,DEC,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,MICROLENSING,IMAGING,TIMING,ASTROMETRY,PAR,GAMMA,PER,ECC,OM,K,T0,DVDT,I,A,MASS,SEP,TREND,LAMBDA,BIGOM,DEPTH,T14,TT,R,AR,B,DENSITY,GRAVITY,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH58,SEDEPTH80,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,FIRSTREF,FIRSTURL,ORBREF,ORBURL,RSTAR,RHOSTAR,FE,SHK,KP,JSNAME,EPEURL,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,EANAME,EAURL
,mjupiter,msun,,,,,k,,pc,,,,km/s,,,,,,,,,,,,,,,,,,,hr,deg,,,,,,,,,,,marcsec,km/s,day,,deg,m/s,jd,m/s/day,deg,au,mjupiter,au,,deg,deg,,day,,rjupiter,,,g/cm^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsun,g/cm^3,,,,,,,,,,,
Kepler-1049,,0.51,,,,,3864,4.77,129,,11.971,11.348,,,estimated from radius; see EOD documentation,,11.18,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1049 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.15644999980926,47.7729444445504,19:09:23.22,+47:46:22.6,,2006.01,1,1,0,0,0,0,7.75194,,3.27346074,0,90,,,,,0.0344721,0.00245309,0.0344721,0,,,0.00030695,0.073883,2454967.447,0.085,15.1619,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01752,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.49,,-0.33,,14.22,,,,,,,Kepler-1049 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1049+b&type=PLANET+HOST
Kepler-813,,0.95,,,,,5743,4.48,840,,13.498,13.031,,,estimated from radius; see EOD documentation,,13.122,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-813 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.04418055534363,48.43536111116409,19:02:39.05,+48:26:07.3,,1310.01,1,1,0,0,0,0,1.19048,,19.12947337,0,90,,,,,0.13761,0.0159697,0.13761,0,,,0.000460103,0.15654,2454972.435,0.191,31.8896,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02145,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.93,,-0.13,,14.569,,,,,,,Kepler-813 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-813+b&type=PLANET+HOST
Kepler-427,0.310432,0.96,,14.42,,,5800,4.14,1100,0.71,13.161,12.814,3,,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,12.777,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Kepler-427 b,KOI-192 b,b,,,,,0,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,19.21697194443809,43.70486111111111,19:13:01.099,+43:42:17.5,,192.01,1,1,0,0,0,0,0.909091,-24.346,10.290994,0,90,29.8,2454970.02207,,89.5,0.091351,0.29,0.091351,0,,,0.008336,0.1789,2454970.02207,1.23,14.5835,0.09,0.16,2.73021,1,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,,0.0913,0,,Predicted,,,,,,,,,8,,9,1,0,Transit,Transit,2010,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,1.35,0.4,-0.19,,14.22,KOI-192 b,http://exoplanet.eu/star.php?st=KOI-192+b,,,2MASS J19130109+4342175,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19130109%2B4342175,,
Kepler-1056,,1.12,,,,,6127,4.33,971,,13.242,12.895,,,estimated from radius; see EOD documentation,,12.827,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1056 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.96839999993642,46.89924999978807,19:58:06.24,+46:53:57.3,,2018.01,1,1,0,0,0,0,1.02987,,27.495606,0,90,,,,,0.185149,0.0271261,0.185149,0,,,0.000545222,0.20933,2454966.284,0.269,33.2523,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02335,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.2,,0.02,,14.55,,,,,,,Kepler-1056 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1056+b&type=PLANET+HOST
Kepler-1165,,1.13,,,,,6080,4.34,1081,,13.362,13.08,,,estimated from radius; see EOD documentation,,13.07,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1165 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.13141666624281,44.70830555544959,19:07:53.10,+44:42:29.9,,2263.02,1,1,0,0,0,0,0.925069,,9.478522,0,90,,,,,0.0912977,0.0115843,0.0912977,0,,,0.00014641,0.25929,2454973.167,0.138,16.6748,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0121,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.18,,0.05,,14.456,,,,,,,Kepler-1165 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1165+b&type=PLANET+HOST
Kepler-1104,,1.3,,,,,6417,4.25,516,,11.215,11.012,,,estimated from radius; see EOD documentation,,10.971,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1104 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.63123611132304,49.33102777798971,19:37:52.45,+49:19:51.7,,2110.01,1,1,0,0,0,0,1.93798,,5.03728015,0,90,,,,,0.0627651,0.00609283,0.0627651,0,,,0.0000670761,0.078533,2454967.109,0.11,9.59359,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.00819,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.41,,0.13,,12.189,,,,,,,Kepler-1104 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1104+b&type=PLANET+HOST
WASP-14,7.65457,1.31,,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,6475,4.07,160,0.46,8.869,8.65,4.9,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,8.621,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,,,WASP-14 b,2MASS J14330635+2153409,b,,,83398,,0,,,14.55176527778308,21.8946944448683,14:33:06.355,+21:53:40.9,,,0,1,0,0,0,0,6.25,-5.627,2.243752,0.091,253.371,993,2454462.3304,,84.32,0.0367693,7.69234,0.0367693,0,-33.1,,0.0102,0.1275,2454463.57583,1.281,6.04917,0.535,4.65633,4.06276,1,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,,,1,,,,,,,0.00187,0.00224,,0.00182,10,,27,1,0,Transit,Transit,2009,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,1.31,0.542,0,,,WASP-14,http://exoplanet.eu/star.php?st=WASP-14,WASP-14 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-14&PLANET=b,BD+22 2716,http://simbad.harvard.edu/simbad/sim-id?Ident=BD%2B22+2716,WASP-14 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=WASP-14+b&type=PLANET+HOST
Kepler-50,,1.23,,10.54,,,6058,3.98,,0.48,9.518,9.25,,,estimated from radius; see EOD documentation,,9.197,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Kepler-50 b,KOI-262,b,,,,,0,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,19.20672694418165,50.03372222221559,19:12:24.217,+50:02:01.4,,262.01,1,1,0,0,1,0,,,7.8125124,,,,,,,0.0825598,0.0164915,0.0825598,0,,,,0.176829,2455005.63186,0.196096,,0.8955,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,6.6581,0.01074,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2011,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,1.88,,,,10.421,Kepler-50,http://exoplanet.eu/star.php?st=Kepler-50,,,Kepler-50,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-50,Kepler-50 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-50+b&type=PLANET+HOST
Kepler-1279,,1.21,,,,,6221,4.26,1017,,12.901,12.662,,,estimated from radius; see EOD documentation,,12.62,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1279 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.20637500021193,40.36597222222223,19:12:22.95,+40:21:57.5,,2563.01,1,1,0,0,0,0,0.983284,,23.4774101,0,90,,,,,0.170989,0.0129028,0.170989,0,,,0.00013924,0.30296,2454978.351,0.156,27.7076,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0118,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.33,,0.06,,13.973,,,,,,,Kepler-1279 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1279+b&type=PLANET+HOST
